"","Tm","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Managers","yearID","Time"
"1715","ATL","2,401,084","29,643",30.3,31.1,101,100,3,7,17,"$106,243,667","Cox",2003,"2:54"
"1716","BAL","2,454,523","30,303",29.3,29.2,99,99,0,1,8,"$73,877,500","Hargrove",2003,"2:50"
"1717","BOS","2,724,165","33,632",29.7,31.2,105,103,1,3,15,"$99,946,500","Little",2003,"2:57"
"1718","CHC","2,962,630","36,576",31.3,28.2,101,101,0,2,14,"$79,868,333","Baker",2003,"2:51"
"1719","CHW","1,939,524","23,945",29.4,27.9,102,102,2,3,14,"$51,010,000","Manuel",2003,"2:44"
"1720","CIN","2,355,259","29,077",27.3,28,95,96,2,1,9,"$59,355,667","Boone, Knight and Miley",2003,"2:50"
"1721","CLE","1,730,002","21,358",27.1,26.3,96,97,0,1,14,"$48,584,834","Wedge",2003,"2:43"
"1722","COL","2,334,085","28,816",29.5,28,115,116,1,3,13,"$67,179,667","Hurdle",2003,"2:49"
"1723","DET","1,368,245","16,892",27.3,25.3,93,95,0,1,7,"$49,168,000","Trammell",2003,"2:39"
"1724","FLA","1,303,215","16,089",27.7,26.3,98,98,1,3,14,"$49,450,000","Torborg and McKeon",2003,"2:50"
"1725","HOU","2,454,241","30,299",31.1,27.6,103,102,2,1,9,"$71,040,000","Williams",2003,"2:50"
"1726","KCR","1,779,895","22,249",29.2,28,107,108,0,2,8,"$40,518,000","Pena",2003,"2:46"
"1727","LAD","3,138,626","38,748",29.9,31.2,94,94,1,3,19,"$105,872,620","Tracy",2003,"2:46"
"1728","MIL","1,700,354","20,992",29.8,27.6,98,100,0,2,9,"$40,627,000","Yost",2003,"2:50"
"1729","MIN","1,946,011","24,025",27.2,29.7,101,100,0,1,15,"$55,505,000","Gardenhire",2003,"2:47"
"1730","MON","1,025,639","12,662",27.7,26.7,105,105,1,1,6,"$51,948,500","Robinson",2003,"2:49"
"1731","NYM","2,140,599","26,757",29.3,31.6,97,98,3,1,17,"$117,176,429","Howe",2003,"2:52"
"1732","NYY","3,465,600","42,263",30.4,33.7,98,97,3,5,19,"$152,749,814","Torre",2003,"3:00"
"1733","OAK","2,216,596","27,365",28.3,27.4,99,98,0,4,10,"$50,260,834","Macha",2003,"2:46"
"1734","PHI","2,259,948","27,901",28.3,29,93,93,1,1,13,"$70,780,000","Bowa",2003,"2:58"
"1735","PIT","1,636,751","20,207",29.7,28.3,102,102,0,1,10,"$54,812,429","McClendon",2003,"2:49"
"1736","SDP","2,030,084","25,063",28.5,27.8,91,92,1,1,13,"$45,210,000","Bochy",2003,"2:53"
"1737","SEA","3,268,509","40,352",32,29.8,95,95,1,5,20,"$86,959,167","Melvin",2003,"2:48"
"1738","SFG","3,264,898","40,307",32.1,28.6,99,98,0,2,12,"$82,852,167","Alou",2003,"2:52"
"1739","STL","2,910,386","35,931",29.9,31.2,97,96,0,5,12,"$83,786,666","La Russa",2003,"2:54"
"1740","TBD","1,058,695","13,070",26.3,26.4,95,97,0,1,4,"$19,630,000","Piniella",2003,"2:45"
"1741","TEX","2,094,394","25,857",28.4,28.1,111,111,0,2,13,"$103,491,667","Showalter",2003,"2:54"
"1742","TOR","1,799,458","22,216",28.4,29,104,104,1,3,6,"$51,269,000","Tosca",2003,"2:51"
"1743","ANA","3,375,677","41,675",28.9,29,97,96,1,2,15,"$100,534,667","Scioscia",2004,"2:52"
"1744","ARI","2,519,560","31,106",28.9,29.3,105,106,2,1,10,"$69,780,750","Brenly and Pedrique",2004,"2:46"
"1745","ATL","2,327,565","28,735",28.9,30.1,101,99,2,1,11,"$90,182,500","Cox",2004,"2:50"
"1746","BAL","2,744,018","33,877",30.5,27.4,98,98,0,1,8,"$51,623,333","Mazzilli",2004,"3:00"
"1747","BOS","2,837,294","35,028",30.4,32.5,106,104,1,3,15,"$127,298,500","Francona",2004,"2:59"
"1748","CHC","3,170,154","38,660",30.1,29.1,102,102,1,3,14,"$90,560,000","Baker",2004,"2:49"
"1749","CHW","1,930,537","23,834",28.6,28.2,102,101,2,1,15,"$65,212,500","Guillen",2004,"2:41"
"1750","CIN","2,287,250","28,238",28.4,28.5,97,98,2,4,7,"$46,915,250","Miley",2004,"2:53"
"1751","CLE","1,814,401","22,400",28.6,27.3,94,94,0,5,12,"$34,319,300","Wedge",2004,"2:55"
"1752","COL","2,338,069","28,865",30.4,28.8,113,114,1,1,13,"$65,445,167","Hurdle",2004,"2:51"
"1753","DET","1,917,004","23,667",28.1,27.5,94,96,1,2,10,"$46,832,000","Trammell",2004,"2:46"
"1754","FLA","1,723,105","21,539",28.8,27.8,95,95,0,4,14,"$42,143,042","McKeon",2004,"2:45"
"1755","HOU","3,087,872","38,122",31.7,29.6,101,100,2,4,11,"$75,397,000","Williams and Garner",2004,"2:52"
"1756","KCR","1,661,478","20,768",29,27.4,101,103,0,1,10,"$47,609,000","Pena",2004,"2:47"
"1757","LAD","3,488,283","43,065",28.9,29.5,95,95,0,2,16,"$92,902,001","Tracy",2004,"2:51"
"1758","MIL","2,062,382","25,462",28.5,27.2,100,101,0,2,7,"$27,528,500","Yost",2004,"2:55"
"1759","MIN","1,911,490","23,599",27.8,28.2,102,102,0,1,13,"$53,890,000","Gardenhire",2004,"2:48"
"1760","MON","749,550","9,369",27.5,26.5,104,105,0,1,5,"$41,197,500","Robinson",2004,"2:51"
"1761","NYM","2,318,951","28,629",29.8,32.5,98,99,2,2,14,"$102,035,970","Howe",2004,"2:59"
"1762","NYY","3,775,292","46,609",32.3,32.9,98,97,3,8,21,"$184,193,950","Torre",2004,"2:59"
"1763","OAK","2,201,516","27,179",29.6,28.4,99,98,0,2,10,"$59,425,667","Macha",2004,"2:54"
"1764","PHI","3,250,092","40,125",29.3,29.8,105,104,1,2,15,"$93,219,167","Bowa and Varsho",2004,"2:59"
"1765","PIT","1,580,031","19,750",27.2,27.7,99,99,0,1,9,"$32,227,929","McClendon",2004,"2:48"
"1766","SDP","3,016,752","37,244",29.6,30,90,90,1,1,13,"$55,384,833","Bochy",2004,"2:46"
"1767","SEA","2,940,731","35,863",31.6,30.4,97,97,1,1,19,"$81,515,834","Melvin",2004,"2:55"
"1768","SFG","3,256,854","39,718",31.6,30.1,101,101,0,2,8,"$82,019,166","Alou",2004,"2:55"
"1769","STL","3,048,427","37,635",30.6,30.1,99,98,1,3,15,"$84,340,333","La Russa",2004,"2:52"
"1770","TBD","1,274,911","15,936",28.1,27.5,96,97,0,1,8,"$29,856,667","Piniella",2004,"2:46"
"1771","TEX","2,513,685","31,033",27.7,30.6,108,108,0,5,14,"$55,050,417","Showalter",2004,"2:51"
"1772","TOR","1,900,041","23,457",28,28.6,104,104,1,1,8,"$50,017,000","Tosca and Gibbons",2004,"2:45"
"1773","ARI","2,059,424","25,425",30.3,27.4,103,104,0,1,10,"$62,629,166","Melvin",2005,"2:56"
"1774","ATL","2,521,167","31,126",28.1,28.6,101,100,2,2,13,"$86,457,302","Cox",2005,"2:46"
"1775","BAL","2,624,740","32,404",31.5,28.3,99,99,0,4,9,"$73,914,333","Mazzilli and Perlozzo",2005,"2:53"
"1776","BOS","2,847,888","35,159",31.3,33.6,104,104,0,5,17,"$123,505,125","Francona",2005,"3:01"
"1777","CHC","3,099,992","38,272",29.7,28.2,104,104,1,2,13,"$87,032,933","Baker",2005,"2:45"
"1778","CHW","2,342,833","28,924",29.3,29.3,103,103,1,4,13,"$75,178,000","Guillen",2005,"2:49"
"1779","CIN","1,943,067","23,696",28.6,28.9,100,101,1,1,8,"$61,892,583","Miley and Narron",2005,"2:53"
"1780","CLE","2,013,763","24,861",27.5,29.2,96,96,0,1,14,"$41,502,500","Wedge",2005,"2:51"
"1781","COL","1,914,389","23,634",27.2,27.3,112,113,0,1,8,"$47,839,000","Hurdle",2005,"2:48"
"1782","DET","2,024,431","24,993",28.5,28,97,97,1,1,15,"$69,092,000","Trammell",2005,"2:44"
"1783","FLA","1,852,608","22,872",29.7,29.5,94,94,0,4,16,"$60,408,834","McKeon",2005,"2:49"
"1784","HOU","2,804,760","34,627",30.3,30.3,101,100,2,4,10,"$76,779,000","Garner",2005,"2:43"
"1785","KCR","1,371,181","16,928",28.1,25.7,99,101,0,1,6,"$36,881,000","Pena, Schaefer and Bell",2005,"2:48"
"1786","LAA","3,404,686","42,033",29.8,28.5,98,97,1,3,12,"$94,867,822","Scioscia",2005,"2:50"
"1787","LAD","3,603,646","44,489",28.7,28.5,98,97,0,2,14,"$83,039,000","Tracy",2005,"2:50"
"1788","MIL","2,211,023","27,297",28.4,28,100,101,0,1,14,"$39,934,833","Yost",2005,"2:53"
"1789","MIN","2,034,243","25,114",27.6,27.9,102,102,0,2,13,"$56,186,000","Gardenhire",2005,"2:43"
"1790","NYM","2,829,929","34,937",28.8,31.9,97,97,3,3,13,"$101,305,821","Randolph",2005,"2:50"
"1791","NYY","4,090,696","50,502",32.4,34.2,98,97,4,3,23,"$208,306,817","Torre",2005,"3:02"
"1792","OAK","2,109,118","26,038",28.6,26.6,100,100,0,1,7,"$55,425,762","Macha",2005,"2:45"
"1793","PHI","2,665,304","32,905",30,29.7,105,104,1,3,16,"$95,522,000","Manuel",2005,"2:51"
"1794","PIT","1,817,245","22,435",27.4,28.7,99,99,0,1,13,"$38,133,000","McClendon and Mackanin",2005,"2:46"
"1795","SDP","2,869,787","35,429",31.1,31,91,91,1,1,12,"$63,290,833","Bochy",2005,"2:47"
"1796","SEA","2,725,459","33,648",28.7,31.4,95,96,0,1,21,"$87,754,334","Hargrove",2005,"2:47"
"1797","SFG","3,181,023","39,272",32.2,30,101,101,0,1,11,"$90,199,500","Alou",2005,"2:46"
"1798","STL","3,538,988","43,691",30.8,29.7,101,100,1,6,14,"$92,106,833","La Russa",2005,"2:48"
"1799","TBD","1,141,669","14,095",27.5,27.4,98,100,0,1,6,"$29,679,067","Piniella",2005,"2:48"
"1800","TEX","2,525,221","31,176",27.9,30.5,106,105,0,4,17,"$55,849,000","Showalter",2005,"2:52"
"1801","TOR","2,014,995","24,876",28,28.2,102,102,1,2,8,"$45,719,500","Gibbons",2005,"2:46"
"1802","WSN","2,731,993","33,728",29.3,28.9,95,96,0,2,14,"$48,581,500","Robinson",2005,"2:55"
"1803","ARI","2,091,685","25,823",29.7,28.8,105,105,0,1,14,"$59,984,226","Melvin",2006,"2:52"
"1804","ATL","2,550,524","31,488",27.5,29.4,100,99,2,3,12,"$90,156,876","Cox",2006,"2:50"
"1805","BAL","2,153,139","26,582",30.4,27.9,99,99,0,1,9,"$72,585,582","Perlozzo",2006,"2:53"
"1806","BOS","2,930,588","36,180",30.5,31.1,105,104,0,4,18,"$120,099,824","Francona",2006,"3:08"
"1807","CHC","3,123,215","38,558",28.6,28,103,103,1,1,13,"$94,424,499","Baker",2006,"2:50"
"1808","CHW","2,957,414","36,511",29.8,27.9,104,104,1,7,16,"$102,750,667","Guillen",2006,"2:49"
"1809","CIN","2,134,607","26,353",29.6,29.5,104,104,1,1,13,"$60,909,519","Narron",2006,"2:50"
"1810","CLE","1,997,995","24,667",27.7,28.6,99,98,0,1,14,"$56,031,500","Wedge",2006,"2:54"
"1811","COL","2,104,362","25,980",27.8,28.8,109,109,0,2,10,"$41,233,000","Hurdle",2006,"2:51"
"1812","DET","2,595,937","32,049",29.3,28.8,100,99,1,3,15,"$82,612,866","Leyland",2006,"2:46"
"1813","FLA","1,164,134","14,372",25.5,25.9,95,96,0,2,6,"$14,671,500","Girardi",2006,"2:51"
"1814","HOU","3,022,763","37,318",30.5,29.8,100,99,1,2,9,"$100,894,435","Garner",2006,"2:54"
"1815","KCR","1,372,638","16,946",29.7,27.7,101,103,0,1,9,"$47,694,000","Bell",2006,"2:56"
"1816","LAA","3,406,790","42,059",28.8,27.9,100,99,1,1,15,"$103,472,000","Scioscia",2006,"2:48"
"1817","LAD","3,758,545","46,402",29.9,30.4,101,100,1,2,23,"$98,447,187","Little",2006,"2:53"
"1818","MIL","2,335,643","28,835",28.8,28.3,101,101,0,3,13,"$57,970,333","Yost",2006,"2:52"
"1819","MIN","2,285,018","28,210",28.3,26.9,98,98,0,3,17,"$63,396,006","Gardenhire",2006,"2:46"
"1820","NYM","3,379,535","41,723",30.2,32.2,98,97,2,6,15,"$101,584,963","Randolph",2006,"2:54"
"1821","NYY","4,248,067","52,445",30.9,32.5,101,99,4,4,15,"$194,663,079","Torre",2006,"3:08"
"1822","OAK","1,976,625","24,403",29.7,27,97,97,1,1,10,"$64,843,079","Macha",2006,"2:47"
"1823","PHI","2,701,815","33,356",29.3,30.5,105,104,0,3,18,"$88,273,333","Manuel",2006,"2:56"
"1824","PIT","1,861,549","22,982",27.8,27,98,99,0,2,13,"$46,717,750","Tracy",2006,"2:48"
"1825","SDP","2,659,757","32,837",30.7,30.6,91,90,2,1,14,"$69,896,141","Bochy",2006,"2:50"
"1826","SEA","2,481,165","30,632",28.7,28,97,97,0,2,16,"$87,959,833","Hargrove",2006,"2:47"
"1827","SFG","3,130,313","38,646",33.7,28.7,100,100,0,1,14,"$90,056,419","Alou",2006,"2:46"
"1828","STL","3,407,104","42,589",29.6,28.6,99,99,0,4,12,"$88,891,371","La Russa",2006,"2:51"
"1829","TBD","1,368,950","16,901",27.3,27,99,100,0,1,7,"$34,917,967","Maddon",2006,"2:48"
"1830","TEX","2,388,757","29,491",28.4,28.3,101,101,0,2,15,"$68,228,662","Showalter",2006,"2:49"
"1831","TOR","2,302,212","28,422",28.6,28.1,100,100,1,5,11,"$71,365,000","Gibbons",2006,"2:52"
"1832","WSN","2,153,056","26,581",28.5,28.9,94,95,0,1,10,"$63,143,000","Robinson",2006,"2:57"
"1833","ARI","2,325,249","28,707",26.6,28.2,107,107,1,3,13,"$52,067,546","Melvin",2007,"2:53"
"1834","ATL","2,745,207","33,891",27.7,29.4,98,98,2,2,12,"$87,290,833","Cox",2007,"2:53"
"1835","BAL","2,164,822","26,726",30.4,29,101,102,0,1,9,"$93,174,808","Perlozzo and Trembley",2007,"2:59"
"1836","BOS","2,970,755","36,676",30.1,31.1,106,105,0,6,19,"$143,026,214","Francona",2007,"3:09"
"1837","CHC","3,252,462","40,154",29.3,28.4,105,104,0,2,14,"$101,670,332","Piniella",2007,"2:50"
"1838","CHW","2,684,395","33,141",29.8,27.7,104,104,1,1,14,"$108,671,833","Guillen",2007,"2:53"
"1839","CIN","2,058,593","25,415",29.7,29.1,104,104,1,1,12,"$68,524,980","Narron and Mackanin",2007,"2:52"
"1840","CLE","2,275,912","28,449",28,29.4,101,100,0,3,13,"$61,673,267","Wedge",2007,"3:02"
"1841","COL","2,376,250","28,979",27.9,28.1,107,108,0,2,10,"$54,041,000","Hurdle",2007,"2:56"
"1842","DET","3,047,133","37,619",30.9,28.5,102,101,1,5,17,"$95,180,369","Leyland",2007,"3:00"
"1843","FLA","1,370,511","16,920",26.7,26.2,97,98,0,1,8,"$30,507,000","Gonzalez",2007,"2:57"
"1844","HOU","3,020,405","37,289",31.4,30.2,100,100,1,2,11,"$87,759,000","Garner and Cooper",2007,"2:55"
"1845","KCR","1,616,867","19,961",28,27.1,100,101,0,1,10,"$67,691,500","Bell",2007,"2:57"
"1846","LAA","3,365,632","41,551",28.6,28.4,101,100,1,3,14,"$109,251,333","Scioscia",2007,"2:51"
"1847","LAD","3,857,036","47,618",29.7,31.1,101,100,0,3,20,"$108,454,524","Little",2007,"2:54"
"1848","MIL","2,869,144","35,422",27.7,29.1,100,100,0,4,14,"$70,986,500","Yost",2007,"2:53"
"1849","MIN","2,296,383","28,350",28.4,27.4,95,95,0,3,13,"$71,439,500","Gardenhire",2007,"2:48"
"1850","NYM","3,853,955","47,580",30.7,31.3,98,97,2,4,19,"$116,181,663","Randolph",2007,"2:57"
"1851","NYY","4,271,083","52,729",30.8,31.4,101,100,3,3,16,"$207,039,045","Torre",2007,"3:14"
"1852","OAK","1,921,844","23,726",28.9,26.9,94,94,1,1,10,"$79,366,940","Geren",2007,"2:53"
"1853","PHI","3,108,325","38,374",28.8,30.6,104,103,0,3,15,"$89,428,213","Manuel",2007,"3:03"
"1854","PIT","1,749,142","21,594",27.2,27.1,97,98,0,1,11,"$38,537,833","Tracy",2007,"2:47"
"1855","SDP","2,790,074","34,445",29.9,31.5,90,90,2,3,12,"$58,110,567","Black",2007,"2:48"
"1856","SEA","2,672,223","32,588",29.9,28.1,96,97,0,2,10,"$106,460,833","Hargrove and McLaren",2007,"2:49"
"1857","SFG","3,223,215","39,793",32.7,27.3,101,101,0,1,14,"$90,219,056","Bochy",2007,"2:50"
"1858","STL","3,552,180","43,854",30.2,29.6,99,99,0,1,13,"$90,286,823","La Russa",2007,"2:54"
"1859","TBD","1,387,603","17,131",25.9,27,98,100,0,1,9,"$24,623,500","Maddon",2007,"3:00"
"1860","TEX","2,353,862","29,060",29.4,27.7,101,101,0,1,13,"$68,643,675","Washington",2007,"2:59"
"1861","TOR","2,360,644","29,144",30.5,27.3,100,99,2,1,10,"$81,942,800","Gibbons",2007,"2:52"
"1862","WSN","1,943,812","23,998",27.9,27.5,94,95,0,1,9,"$36,947,500","Acta",2007,"2:55"
"1863","ARI","2,509,924","30,987",26.7,29.4,107,107,1,2,11,"$66,202,712","Melvin",2008,"2:52"
"1864","ATL","2,532,834","31,270",27.2,28.6,98,97,3,2,12,"$102,365,683","Cox",2008,"2:52"
"1865","BAL","1,950,075","24,376",30.1,27.9,101,102,0,1,9,"$67,196,246","Trembley",2008,"2:58"
"1866","BOS","3,048,250","37,633",29.8,29.2,107,106,0,7,21,"$133,390,035","Francona",2008,"3:06"
"1867","CHC","3,300,200","40,743",30.1,28.9,107,106,0,8,14,"$120,345,833","Piniella",2008,"2:55"
"1868","CHW","2,500,648","30,496",30.6,28.3,104,105,2,2,16,"$121,189,332","Guillen",2008,"2:51"
"1869","CIN","2,058,632","25,415",28.6,28.7,102,102,1,1,10,"$74,167,695","Baker",2008,"2:55"
"1870","CLE","2,169,760","26,787",27.6,28.6,98,97,0,2,12,"$78,970,066","Wedge",2008,"3:01"
"1871","COL","2,650,218","32,719",27.5,28.5,109,109,0,2,12,"$68,655,500","Hurdle",2008,"2:54"
"1872","DET","3,202,645","39,539",30.3,29.9,102,102,1,1,17,"$138,785,196","Leyland",2008,"3:00"
"1873","FLA","1,335,076","16,482",28,26.6,101,101,0,2,8,"$21,811,500","Gonzalez",2008,"2:56"
"1874","HOU","2,779,487","34,744",31.1,30.9,97,98,0,2,13,"$87,946,807","Cooper",2008,"2:52"
"1875","KCR","1,578,922","19,493",28,27.6,98,99,0,1,8,"$59,445,500","Hillman",2008,"2:54"
"1876","LAA","3,336,747","41,194",29,27.6,102,102,1,3,16,"$119,216,333","Scioscia",2008,"2:47"
"1877","LAD","3,730,553","46,056",28.5,29.5,98,97,1,1,18,"$118,588,536","Torre",2008,"2:57"
"1878","MIL","3,068,458","37,882",28.7,29.9,98,98,0,3,14,"$80,937,499","Yost and Sveum",2008,"2:55"
"1879","MIN","2,302,431","28,425",26.2,27.5,96,96,0,3,11,"$56,932,766","Gardenhire",2008,"2:53"
"1880","NYM","4,042,045","49,902",30.1,29,98,98,1,2,11,"$137,793,376","Randolph and Manuel",2008,"3:02"
"1881","NYY","4,298,655","53,070",31.4,30.6,103,101,4,3,19,"$212,286,789","Girardi",2008,"3:05"
"1882","OAK","1,665,256","20,559",27.2,26.5,94,94,1,1,8,"$47,967,126","Geren",2008,"2:48"
"1883","PHI","3,422,583","42,254",30.1,30.6,102,101,0,2,12,"$97,879,880","Manuel",2008,"2:55"
"1884","PIT","1,609,076","19,865",28.4,26.5,96,97,0,1,10,"$48,689,783","Russell",2008,"2:54"
"1885","SDP","2,427,535","29,970",28.9,30.2,87,88,2,1,11,"$73,677,616","Black",2008,"2:52"
"1886","SEA","2,329,702","28,762",29.7,28.5,96,97,0,1,11,"$117,666,482","McLaren and Riggleman",2008,"2:47"
"1887","SFG","2,863,837","35,356",29.6,27.1,102,102,0,2,12,"$76,594,500","Bochy",2008,"2:53"
"1888","STL","3,432,917","42,382",28.8,30.2,98,98,0,2,12,"$99,624,449","La Russa",2008,"2:54"
"1889","TBR","1,811,986","22,370",27,27.5,101,101,0,3,13,"$44,970,597","Maddon",2008,"3:02"
"1890","TEX","1,945,677","24,021",27.7,28.1,101,102,0,4,13,"$68,037,326","Washington",2008,"3:02"
"1891","TOR","2,399,786","29,627",31,28.6,97,97,2,1,13,"$97,793,900","Gibbons and Gaston",2008,"2:51"
"1892","WSN","2,320,400","29,005",27.7,27.3,98,100,0,1,13,"$54,961,000","Acta",2008,"2:50"
"1893","ARI","2,128,765","26,281",26.5,27.7,105,106,0,2,10,"$75,920,666","Melvin and Hinch",2009,"2:56"
"1894","ATL","2,373,631","29,304",28.8,28.9,99,98,1,1,11,"$99,593,166","Cox",2009,"2:54"
"1895","BAL","1,907,163","23,545",28.7,28.1,101,102,0,1,14,"$69,904,166","Trembley",2009,"2:52"
"1896","BOS","3,062,699","37,811",30,29.8,105,104,1,6,23,"$125,439,499","Francona",2009,"3:06"
"1897","CHC","3,168,859","39,611",29.9,28.4,107,106,0,1,11,"$139,652,000","Piniella",2009,"2:52"
"1898","CHW","2,284,163","28,200",29.8,29.5,105,105,1,1,16,"$101,081,000","Guillen",2009,"2:46"
"1899","CIN","1,747,919","21,579",27.8,29,100,100,0,1,12,"$78,979,000","Baker",2009,"2:58"
"1900","CLE","1,766,242","21,805",27.4,27.8,95,95,0,1,12,"$85,224,866","Wedge",2009,"3:01"
"1901","COL","2,665,080","32,902",27.8,28.5,112,112,0,2,12,"$79,250,200","Hurdle and Tracy",2009,"2:57"
"1902","DET","2,567,165","31,693",29.8,26.6,101,101,0,4,11,"$119,510,145","Leyland",2009,"2:50"
"1903","FLA","1,464,109","18,075",27,26.3,102,102,0,2,6,"$40,029,000","Gonzalez",2009,"3:00"
"1904","HOU","2,521,076","31,124",31.6,31.2,98,98,1,2,12,"$105,804,414","Cooper and Clark",2009,"2:51"
"1905","KCR","1,797,891","22,196",27.6,28.7,97,99,0,1,6,"$76,817,333","Hillman",2009,"2:54"
"1906","LAA","3,240,386","40,005",29.6,28.6,99,98,1,3,14,"$118,169,000","Scioscia",2009,"2:56"
"1907","LAD","3,761,655","46,440",29.7,27.8,95,95,1,3,19,"$102,117,592","Torre",2009,"3:08"
"1908","MIL","3,037,451","37,499",29.3,30,98,98,1,3,11,"$81,384,502","Macha",2009,"3:00"
"1909","MIN","2,416,237","29,466",27.6,27.9,98,98,0,3,11,"$67,804,266","Gardenhire",2009,"2:56"
"1910","NYM","3,168,571","39,118",29.5,29.2,97,97,0,4,13,"$151,994,237","Manuel",2009,"2:55"
"1911","NYY","3,719,358","45,918",30.7,29.3,105,103,2,3,17,"$210,330,039","Girardi",2009,"3:11"
"1912","OAK","1,408,783","17,392",29.1,25.7,98,98,0,1,7,"$65,945,000","Geren",2009,"2:50"
"1913","PHI","3,600,693","44,453",31.3,31.2,101,100,1,5,14,"$115,479,046","Manuel",2009,"2:56"
"1914","PIT","1,577,853","19,480",27,26.3,98,99,0,2,10,"$51,912,500","Russell",2009,"2:49"
"1915","SDP","1,919,603","23,699",28,26.8,90,90,0,2,10,"$50,954,200","Black",2009,"2:55"
"1916","SEA","2,195,533","27,105",29.9,27.4,94,95,1,2,9,"$100,134,166","Wakamatsu",2009,"2:46"
"1917","SFG","2,862,110","35,335",29,28.7,102,101,1,2,15,"$91,944,450","Bochy",2009,"2:49"
"1918","STL","3,343,252","41,275",28.5,30.1,98,97,1,3,11,"$90,928,409","La Russa",2009,"2:48"
"1919","TBR","1,874,962","23,148",27.8,28.4,98,97,0,5,14,"$67,270,334","Maddon",2009,"3:01"
"1920","TEX","2,156,016","26,617",27.8,27.7,104,104,1,3,19,"$79,723,548","Washington",2009,"2:51"
"1921","TOR","1,876,129","23,162",29.9,28.4,100,99,1,2,12,"$83,964,500","Gaston",2009,"2:56"
"1922","WSN","1,817,226","22,435",28.3,27.4,99,101,0,1,11,"$64,384,000","Acta and Riggleman",2009,"2:55"
"1923","ARI","2,056,697","25,391",26.8,27.9,105,105,0,1,8,"$61,368,166","Hinch and Gibson",2010,"2:58"
"1924","ATL","2,510,119","30,989",28.6,30.1,98,97,1,6,19,"$84,423,666","Cox",2010,"2:56"
"1925","BAL","1,733,019","21,395",28.6,28.4,99,100,0,1,14,"$81,612,500","Trembley, Samuel and Showalter",2010,"2:53"
"1926","BOS","3,046,445","37,610",30.9,29.6,106,105,0,6,20,"$164,507,333","Francona",2010,"3:10"
"1927","CHC","3,062,973","37,814",29.4,28.2,104,105,0,1,12,"$146,609,002","Piniella and Quade",2010,"2:50"
"1928","CHW","2,194,378","27,091",30.7,29,103,103,0,2,16,"$107,195,000","Guillen",2010,"2:47"
"1929","CIN","2,060,550","25,439",29,28.2,102,101,0,4,14,"$75,321,542","Baker",2010,"2:56"
"1930","CLE","1,391,644","17,181",27.2,26.6,94,95,0,1,12,"$61,203,966","Acta",2010,"2:54"
"1931","COL","2,875,245","35,497",28.8,28.1,115,115,0,2,10,"$90,677,000","Tracy",2010,"3:00"
"1932","DET","2,461,237","30,386",29,26.5,102,101,0,3,11,"$124,039,928","Leyland",2010,"2:54"
"1933","FLA","1,524,894","18,826",26.9,27.1,103,103,0,2,6,"$57,454,719","Gonzalez and Rodriguez",2010,"2:55"
"1934","HOU","2,331,490","28,784",29.5,29.6,97,98,0,1,8,"$93,216,000","Mills",2010,"2:49"
"1935","KCR","1,615,327","19,942",28.9,27.5,99,101,0,1,8,"$73,105,210","Hillman and Yost",2010,"2:51"
"1936","LAA","3,250,814","40,134",29.7,28.3,96,96,0,2,15,"$104,963,866","Scioscia",2010,"2:54"
"1937","LAD","3,562,320","43,979",30.3,28.1,96,96,0,4,18,"$95,358,016","Torre",2010,"3:01"
"1938","MIL","2,776,531","34,278",27.8,29.2,100,100,1,3,16,"$81,108,278","Macha",2010,"3:03"
"1939","MIN","3,223,640","39,798",28.4,28.6,98,98,1,2,14,"$97,559,166","Gardenhire",2010,"2:51"
"1940","NYM","2,559,738","31,602",28.4,29.5,97,97,0,2,10,"$134,422,942","Manuel",2010,"2:57"
"1941","NYY","3,765,807","46,491",30.4,30.3,106,104,2,8,21,"$210,733,389","Girardi",2010,"3:09"
"1942","OAK","1,418,391","17,511",27.8,26,99,99,0,2,8,"$57,904,900","Geren",2010,"2:44"
"1943","PHI","3,777,322","44,968",31.8,31.1,102,101,1,3,18,"$141,928,379","Manuel",2010,"2:54"
"1944","PIT","1,613,399","19,919",26.5,28.6,98,100,0,1,9,"$37,443,000","Russell",2010,"2:52"
"1945","SDP","2,131,774","26,318",29.1,27.2,91,91,0,2,10,"$37,799,300","Black",2010,"2:56"
"1946","SEA","2,085,630","25,749",29.6,27.1,93,95,1,1,14,"$86,510,000","Wakamatsu and Brown",2010,"2:43"
"1947","SFG","3,037,443","37,499",29.6,27.9,97,97,0,2,11,"$98,641,333","Bochy",2010,"2:52"
"1948","STL","3,301,218","40,756",28.8,30.2,97,96,0,5,14,"$93,540,751","La Russa",2010,"2:52"
"1949","TBR","1,864,999","23,025",27.5,28,95,94,0,4,14,"$71,923,471","Maddon",2010,"3:02"
"1950","TEX","2,505,171","30,928",28.3,27.6,109,108,1,6,16,"$56,474,374","Washington",2010,"2:57"
"1951","TOR","1,495,482","19,173",29.3,28,102,101,0,3,8,"$62,734,000","Gaston",2010,"2:48"
"1952","WSN","1,828,066","22,569",29.1,28,99,100,1,1,12,"$67,701,000","Riggleman",2010,"2:57"
"1953","ARI","2,105,432","25,993",28.2,27.4,103,103,0,2,12,"$54,823,166","Gibson",2011,"2:53"
